,Unnamed: 0,id,name,ket qua du doan,ket qua du doan new
0,0,1,CONG TY CO PHAN NGUYEN THUY - THE SENWORLD,0,ngoai le
1,1,2,CONG TY TNHH GIA HUY- GHP GROUP,0,ngoai le
2,2,3,DO THI THUY - DOANH NGHIEP TU NHAN THUONG MAI DICH VU DUC DUNG #DUC HOA,0,ngoai le
3,3,4,CN CTY TNHH MTV DONG TAU BEN THUY - CN CTY TNHH MTV DONG TAU BEN #THUY -XN SX SAN PHAM COMPOSITE,0,ngoai le
4,4,5,HA NGOC THUY - DNTN NGOC THUY,0,ngoai le
5,5,6,CTY TAI CHINH TNHH MTV CONG NGHIEP TAU THUY - CHI NHANH HA NOI,0,ngoai le
6,6,7,TONG CONG TY VAN TAI THUY - CTCP,0,ngoai le
7,7,8,cong ty tnhh xay dung va thiet ke code design,0,ngoai le
8,8,9,CTY TNHH HUY- SON,0,ngoai le
9,9,10,CHI NHANH TAP DOAN CONG NGHIEP THAN - KHOANG SAN VIET NAM -#CONG TY THAN DUONG HUY - TKV,0,ngoai le
10,10,11,CANG VIET TRI - TONG CONG TY VAN TAI THUY - CTCP,0,ngoai le
11,11,12,CTY CP VAN TAI THUY - VINACOMIN,0,ngoai le
12,12,13,LE LUONG THANH THUY - DOANH NGHIEP TN NGOC BAO CHI,0,ngoai le
13,13,14,CONG TY CO PHAN DAU TU VA XAY DUNG CONG TRINH THUY - CIENCO 1,0,ngoai le
14,14,15,CONG TY CO PHAN TRUNG THUY - DA NANG,0,ngoai le
15,15,16,CHI NHANH NHA MAY GACH CAM THUY - CONG TY TNHH GOM THANH VINH,0,ngoai le
16,16,17,DIEN LUC BINH THUY - CONG TY DIEN LUC THANH PHO CAN THO,0,ngoai le
